NaN,20307,20308,20309
NaN,19704,19705,19706
NaN,19776,19777,19778
NaN,19764,19765,19766
NaN,19746,19747,19748
NaN,18819,18820,18821
NaN,45459,45460,45461
NaN,45468,45469,45470
NaN,45471,45472,45473
NaN,45474,45475,45476
NaN,44913,44914,44915
NaN,45477,45478,45479
NaN,44040,44041,44042
NaN,47142,47143,47144
NaN,39576,39577,39578
NaN,39867,39868,39869
NaN,39579,39580,39581
NaN,47121,47122,47123
NaN,47106,47107,47108
NaN,47112,47113,47114
NaN,48060,48061,48062
NaN,48033,48034,48035
NaN,47997,47998,47999
NaN,47181,47182,47183
NaN,47991,47992,47993
NaN,47124,47125,47126
NaN,47127,47128,47129
NaN,47319,47320,47321
NaN,47325,47326,47327
NaN,47376,47377,47378
NaN,47160,47161,47162
NaN,47286,47287,47288
NaN,47268,47269,47270
NaN,47331,47332,47333
NaN,47322,47323,47324
NaN,47334,47335,47336
NaN,47379,47380,47381
NaN,47328,47329,47330
NaN,47403,47404,47405
NaN,47340,47341,47342
NaN,52755,52756,52757
NaN,47382,47383,47384
NaN,47412,47413,47414
NaN,47415,47416,47417
NaN,47337,47338,47339
NaN,47424,47425,47426
NaN,47241,47242,47243
NaN,47199,47200,47201
NaN,47193,47194,47195
NaN,47229,47230,47231
NaN,47157,47158,47159
NaN,47265,47266,47267
NaN,22347,22348,22349
NaN,22770,22771,22772
NaN,22686,22687,22688
NaN,22914,22915,22916
NaN,23004,23005,23006
NaN,39798,39799,39800
NaN,39828,39829,39830
NaN,39888,39889,39890
NaN,39816,39817,39818
NaN,39825,39826,39827
NaN,39822,39823,39824
NaN,39864,39865,39866
NaN,39870,39871,39872
NaN,39873,39874,39875
NaN,48066,48067,48068
NaN,47994,47995,47996
NaN,48021,48022,48023
NaN,48003,48004,48005
NaN,39894,39895,39896
NaN,48006,48007,48008
NaN,48009,48010,48011
NaN,48000,48001,48002
NaN,48039,48040,48041
NaN,39891,39892,39893
NaN,39876,39877,39878
NaN,39801,39802,39803
NaN,39831,39832,39833
NaN,39834,39835,39836
NaN,39840,39841,39842
NaN,39879,39880,39881
NaN,39882,39883,39884
NaN,39843,39844,39845
NaN,39837,39838,39839
NaN,39885,39886,39887
NaN,39846,39847,39848
NaN,39861,39862,39863
NaN,39897,39898,39899
NaN,39900,39901,39902
NaN,39849,39850,39851
NaN,39903,39904,39905
NaN,39918,39919,39920
NaN,39915,39916,39917
NaN,48036,48037,48038
NaN,48042,48043,48044
NaN,48018,48019,48020
NaN,39912,39913,39914
NaN,48015,48016,48017
NaN,39921,39922,39923
NaN,39924,39925,39926
NaN,39930,39931,39932
NaN,39813,39814,39815
NaN,39795,39796,39797
NaN,39810,39811,39812
NaN,39855,39856,39857
NaN,39852,39853,39854
NaN,41445,41446,41447
NaN,41334,41335,41336
NaN,39906,39907,39908
NaN,39909,39910,39911
NaN,48096,48097,48098
NaN,48093,48094,48095
NaN,48078,48079,48080
NaN,42084,42085,42086
NaN,42156,42157,42158
NaN,42423,42424,42425
NaN,42432,42433,42434
NaN,43395,43396,43397
NaN,43458,43459,43460
NaN,43704,43705,43706
NaN,43701,43702,43703
NaN,43851,43852,43853
NaN,43857,43858,43859
NaN,43401,43402,43403
NaN,43398,43399,43400
NaN,43734,43735,43736
NaN,43530,43531,43532
NaN,43731,43732,43733
NaN,43860,43861,43862
NaN,43725,43726,43727
NaN,43533,43534,43535
NaN,43695,43696,43697
NaN,50727,50728,50729
NaN,50811,50812,50813
NaN,43740,43741,43742
NaN,51486,51487,51488
NaN,51498,51499,51500
NaN,43737,43738,43739
NaN,43728,43729,43730
NaN,43653,43654,43655
NaN,43854,43855,43856
NaN,43650,43651,43652
NaN,43656,43657,43658
NaN,43659,43660,43661
NaN,43674,43675,43676
NaN,43623,43624,43625
NaN,43626,43627,43628
NaN,43698,43699,43700
NaN,43662,43663,43664
NaN,43629,43630,43631
NaN,43632,43633,43634
NaN,51489,51490,51491
NaN,43755,43756,43757
NaN,43752,43753,43754
NaN,43749,43750,43751
NaN,43746,43747,43748
NaN,43743,43744,43745
NaN,43758,43759,43760
NaN,51507,51508,51509
NaN,51504,51505,51506
NaN,51501,51502,51503
NaN,43761,43762,43763
NaN,43671,43672,43673
NaN,43668,43669,43670
NaN,20307,20308,20309
NaN,19776,19777,19778
NaN,19746,19747,19748
NaN,18819,18820,18821
NaN,45450,45451,45452
NaN,45459,45460,45461
NaN,45468,45469,45470
NaN,45456,45457,45458
NaN,45474,45475,45476
NaN,44910,44911,44912
NaN,44913,44914,44915
NaN,44025,44026,44027
NaN,44040,44041,44042
NaN,44031,44032,44033
NaN,47151,47152,47153
NaN,47142,47143,47144
NaN,39576,39577,39578
NaN,39867,39868,39869
NaN,39858,39859,39860
NaN,39537,39538,39539
NaN,39819,39820,39821
NaN,39579,39580,39581
NaN,39531,39532,39533
NaN,47997,47998,47999
NaN,47991,47992,47993
NaN,47127,47128,47129
NaN,47319,47320,47321
NaN,47325,47326,47327
NaN,47376,47377,47378
NaN,47271,47272,47273
NaN,47160,47161,47162
NaN,47175,47176,47177
NaN,47223,47224,47225
NaN,47196,47197,47198
NaN,47286,47287,47288
NaN,47268,47269,47270
NaN,47331,47332,47333
NaN,47322,47323,47324
NaN,47334,47335,47336
NaN,47379,47380,47381
NaN,47304,47305,47306
NaN,47328,47329,47330
NaN,47283,47284,47285
NaN,47403,47404,47405
NaN,47340,47341,47342
NaN,47382,47383,47384
NaN,47412,47413,47414
NaN,47415,47416,47417
NaN,47337,47338,47339
NaN,47241,47242,47243
NaN,47199,47200,47201
NaN,47193,47194,47195
NaN,47229,47230,47231
NaN,47157,47158,47159
NaN,47232,47233,47234
NaN,47265,47266,47267
NaN,22914,22915,22916
NaN,23004,23005,23006
NaN,39759,39760,39761
NaN,39756,39757,39758
NaN,39762,39763,39764
NaN,39780,39781,39782
NaN,39789,39790,39791
NaN,39798,39799,39800
NaN,39828,39829,39830
NaN,39888,39889,39890
NaN,39816,39817,39818
NaN,39825,39826,39827
NaN,39822,39823,39824
NaN,39864,39865,39866
NaN,39768,39769,39770
NaN,39765,39766,39767
NaN,39870,39871,39872
NaN,39873,39874,39875
NaN,47994,47995,47996
NaN,48021,48022,48023
NaN,48003,48004,48005
NaN,39894,39895,39896
